#  scale_factor   cSFR (HACC)
   2.565174e-01  1.519045e-01
   2.581095e-01  1.540620e-01
   2.597015e-01  1.565292e-01
   2.612935e-01  1.587087e-01
   2.628856e-01  1.613370e-01
   2.644776e-01  1.636663e-01
   2.660696e-01  1.660206e-01
   2.676617e-01  1.681137e-01
   2.692537e-01  1.695151e-01
   2.708458e-01  1.716328e-01
   2.724378e-01  1.735178e-01
   2.740299e-01  1.755387e-01
   2.756219e-01  1.772388e-01
   2.772139e-01  1.784741e-01
   2.788060e-01  1.803516e-01
   2.803980e-01  1.819305e-01
   2.819900e-01  1.834462e-01
   2.835821e-01  1.850242e-01
   2.851741e-01  1.866283e-01
   2.867662e-01  1.881830e-01
   2.883582e-01  1.891468e-01
   2.899503e-01  1.904482e-01
   2.915423e-01  1.919589e-01
   2.931343e-01  1.932815e-01
   2.947264e-01  1.941447e-01
   2.963184e-01  1.955913e-01
   2.979104e-01  1.966784e-01
   2.995025e-01  1.975425e-01
   3.010945e-01  1.987004e-01
   3.026866e-01  1.992402e-01
   3.042786e-01  2.003193e-01
   3.058707e-01  2.014840e-01
   3.074627e-01  2.021732e-01
   3.090547e-01  2.030142e-01
   3.106468e-01  2.039660e-01
   3.122388e-01  2.048399e-01
   3.138308e-01  2.055063e-01
   3.154229e-01  2.059619e-01
   3.170149e-01  2.068802e-01
   3.186070e-01  2.074553e-01
   3.201990e-01  2.082888e-01
   3.217910e-01  2.091531e-01
   3.233831e-01  2.098279e-01
   3.249751e-01  2.103125e-01
   3.265672e-01  2.107974e-01
   3.281592e-01  2.115996e-01
   3.297512e-01  2.118995e-01
   3.313433e-01  2.124361e-01
   3.329353e-01  2.124384e-01
   3.345274e-01  2.130716e-01
   3.361194e-01  2.132226e-01
   3.377114e-01  2.133934e-01
   3.393035e-01  2.134197e-01
   3.408955e-01  2.138014e-01
   3.424876e-01  2.137645e-01
   3.440796e-01  2.142575e-01
   3.456716e-01  2.145364e-01
   3.472637e-01  2.150924e-01
   3.488557e-01  2.149287e-01
   3.504478e-01  2.151498e-01
   3.520398e-01  2.149900e-01
   3.536318e-01  2.150649e-01
   3.552239e-01  2.150911e-01
   3.568159e-01  2.150160e-01
   3.584080e-01  2.147608e-01
   3.600000e-01  2.145501e-01
   3.615920e-01  2.148114e-01
   3.631841e-01  2.146908e-01
   3.647761e-01  2.145280e-01
   3.663682e-01  2.142705e-01
   3.679602e-01  2.138698e-01
   3.695522e-01  2.139697e-01
   3.711443e-01  2.137491e-01
   3.727363e-01  2.135156e-01
   3.743284e-01  2.130439e-01
   3.759204e-01  2.126950e-01
   3.775124e-01  2.128671e-01
   3.791045e-01  2.124889e-01
   3.806965e-01  2.123196e-01
   3.822886e-01  2.120590e-01
   3.838806e-01  2.117673e-01
   3.854726e-01  2.115308e-01
   3.870647e-01  2.111908e-01
   3.886567e-01  2.106407e-01
   3.902488e-01  2.102590e-01
   3.918408e-01  2.098448e-01
   3.934328e-01  2.094532e-01
   3.950249e-01  2.090292e-01
   3.966169e-01  2.083693e-01
   3.982090e-01  2.076814e-01
   3.998010e-01  2.073322e-01
   4.013930e-01  2.067606e-01
   4.029851e-01  2.060715e-01
   4.045771e-01  2.058318e-01
   4.061691e-01  2.051033e-01
   4.077612e-01  2.043523e-01
   4.093532e-01  2.037961e-01
   4.109453e-01  2.030653e-01
   4.125373e-01  2.022207e-01
   4.141294e-01  2.016589e-01
   4.157214e-01  2.011278e-01
   4.173134e-01  2.003900e-01
   4.189055e-01  1.997082e-01
   4.204975e-01  1.990435e-01
   4.220895e-01  1.981045e-01
   4.236816e-01  1.974775e-01
   4.252736e-01  1.968328e-01
   4.268657e-01  1.964567e-01
   4.284577e-01  1.956999e-01
   4.300498e-01  1.949800e-01
   4.316418e-01  1.942846e-01
   4.332338e-01  1.933593e-01
   4.348259e-01  1.924781e-01
   4.364179e-01  1.917310e-01
   4.380099e-01  1.911159e-01
   4.396020e-01  1.902800e-01
   4.411940e-01  1.895527e-01
   4.427861e-01  1.889049e-01
   4.443781e-01  1.878080e-01
   4.459702e-01  1.869557e-01
   4.475622e-01  1.860514e-01
   4.491542e-01  1.852607e-01
   4.507463e-01  1.844577e-01
   4.523383e-01  1.836455e-01
   4.539303e-01  1.824316e-01
   4.555224e-01  1.815918e-01
   4.571144e-01  1.807012e-01
   4.587065e-01  1.798522e-01
   4.602985e-01  1.792607e-01
   4.618906e-01  1.784499e-01
   4.634826e-01  1.773671e-01
   4.650746e-01  1.763967e-01
   4.666667e-01  1.753843e-01
   4.682587e-01  1.747154e-01
   4.698507e-01  1.737313e-01
   4.714428e-01  1.728532e-01
   4.730348e-01  1.719820e-01
   4.746269e-01  1.711225e-01
   4.762189e-01  1.699743e-01
   4.778110e-01  1.690381e-01
   4.794030e-01  1.682383e-01
   4.809950e-01  1.674051e-01
   4.825871e-01  1.666299e-01
   4.841791e-01  1.657799e-01
   4.857711e-01  1.649877e-01
   4.873632e-01  1.637241e-01
   4.889552e-01  1.625359e-01
   4.905473e-01  1.615323e-01
   4.921393e-01  1.606052e-01
   4.937313e-01  1.597788e-01
   4.953234e-01  1.590769e-01
   4.969154e-01  1.582413e-01
   4.985075e-01  1.572336e-01
   5.000995e-01  1.562958e-01
   5.016915e-01  1.553981e-01
   5.032836e-01  1.545230e-01
   5.048756e-01  1.535616e-01
   5.064677e-01  1.525136e-01
   5.080597e-01  1.517583e-01
   5.096517e-01  1.507921e-01
   5.112438e-01  1.498218e-01
   5.128358e-01  1.490277e-01
   5.144279e-01  1.481204e-01
   5.160199e-01  1.471453e-01
   5.176119e-01  1.462466e-01
   5.192040e-01  1.455052e-01
   5.207960e-01  1.447950e-01
   5.223881e-01  1.438692e-01
   5.239801e-01  1.430138e-01
   5.255721e-01  1.420693e-01
   5.271642e-01  1.410826e-01
   5.287562e-01  1.400368e-01
   5.303483e-01  1.390826e-01
   5.319403e-01  1.380728e-01
   5.335323e-01  1.370327e-01
   5.351244e-01  1.361182e-01
   5.367164e-01  1.354902e-01
   5.383085e-01  1.346860e-01
   5.399005e-01  1.338139e-01
   5.414925e-01  1.330380e-01
   5.430846e-01  1.322172e-01
   5.446766e-01  1.314181e-01
   5.462687e-01  1.304725e-01
   5.478607e-01  1.295654e-01
   5.494527e-01  1.287137e-01
   5.510448e-01  1.278009e-01
   5.526368e-01  1.269881e-01
   5.542289e-01  1.260790e-01
   5.558209e-01  1.253238e-01
   5.574129e-01  1.244507e-01
   5.590050e-01  1.235139e-01
   5.605970e-01  1.227659e-01
   5.621890e-01  1.220625e-01
   5.637811e-01  1.212470e-01
   5.653731e-01  1.205350e-01
   5.669652e-01  1.197469e-01
   5.685572e-01  1.188400e-01
   5.701493e-01  1.180553e-01
   5.717413e-01  1.173610e-01
   5.733333e-01  1.166718e-01
   5.749254e-01  1.160150e-01
   5.765174e-01  1.152416e-01
   5.781095e-01  1.144012e-01
   5.797015e-01  1.135327e-01
   5.812935e-01  1.128392e-01
   5.828856e-01  1.120871e-01
   5.844776e-01  1.113285e-01
   5.860696e-01  1.104967e-01
   5.876617e-01  1.096222e-01
   5.892537e-01  1.089109e-01
   5.908458e-01  1.081986e-01
   5.924378e-01  1.075552e-01
   5.940298e-01  1.067907e-01
   5.956219e-01  1.062413e-01
   5.972139e-01  1.056633e-01
   5.988060e-01  1.049777e-01
   6.003980e-01  1.042843e-01
   6.019901e-01  1.036003e-01
   6.035821e-01  1.030807e-01
   6.051741e-01  1.028554e-01
   6.067662e-01  1.028533e-01
   6.083582e-01  1.028064e-01
   6.099503e-01  1.026387e-01
   6.115423e-01  1.023929e-01
   6.131343e-01  1.020805e-01
   6.147264e-01  1.016918e-01
   6.163184e-01  1.012340e-01
   6.179104e-01  1.007007e-01
   6.195025e-01  1.000289e-01
   6.210945e-01  9.953648e-02
   6.226866e-01  9.906644e-02
   6.242786e-01  9.861475e-02
   6.258706e-01  9.815872e-02
   6.274627e-01  9.769720e-02
   6.290547e-01  9.722102e-02
   6.306468e-01  9.688663e-02
   6.322388e-01  9.650236e-02
   6.338308e-01  9.620118e-02
   6.354229e-01  9.597886e-02
   6.370149e-01  9.574360e-02
   6.386070e-01  9.554583e-02
   6.401990e-01  9.527731e-02
   6.417910e-01  9.498584e-02
   6.433831e-01  9.468287e-02
   6.449751e-01  9.431899e-02
   6.465672e-01  9.393573e-02
   6.481592e-01  9.354532e-02
   6.497512e-01  9.309477e-02
   6.513433e-01  9.249860e-02
   6.529353e-01  9.208000e-02
   6.545274e-01  9.164888e-02
   6.561194e-01  9.106052e-02
   6.577114e-01  9.045511e-02
   6.593035e-01  8.999264e-02
   6.608955e-01  8.963943e-02
   6.624876e-01  8.948886e-02
   6.640796e-01  8.927953e-02
   6.656716e-01  8.892119e-02
   6.672637e-01  8.855402e-02
   6.688557e-01  8.805579e-02
   6.704478e-01  8.770204e-02
   6.720398e-01  8.737522e-02
   6.736318e-01  8.705252e-02
   6.752239e-01  8.667153e-02
   6.768159e-01  8.636779e-02
   6.784080e-01  8.594203e-02
   6.800000e-01  8.548021e-02
   6.815920e-01  8.492190e-02
   6.831841e-01  8.449453e-02
   6.847761e-01  8.410871e-02
   6.863682e-01  8.370978e-02
   6.879602e-01  8.328366e-02
   6.895522e-01  8.293772e-02
   6.911443e-01  8.266789e-02
   6.927363e-01  8.242726e-02
   6.943284e-01  8.215278e-02
   6.959204e-01  8.185399e-02
   6.975124e-01  8.148152e-02
   6.991045e-01  8.108842e-02
   7.006965e-01  8.064514e-02
   7.022886e-01  8.026648e-02
   7.038806e-01  7.979935e-02
   7.054726e-01  7.938921e-02
   7.070647e-01  7.906902e-02
   7.086567e-01  7.870042e-02
   7.102488e-01  7.837713e-02
   7.118408e-01  7.799160e-02
   7.134328e-01  7.764953e-02
   7.150249e-01  7.729840e-02
   7.166169e-01  7.683992e-02
   7.182090e-01  7.644051e-02
   7.198010e-01  7.601184e-02
   7.213930e-01  7.565612e-02
   7.229851e-01  7.531595e-02
   7.245771e-01  7.493156e-02
   7.261692e-01  7.455713e-02
   7.277612e-01  7.426941e-02
   7.293532e-01  7.404089e-02
   7.309453e-01  7.380474e-02
   7.325373e-01  7.356900e-02
   7.341294e-01  7.327771e-02
   7.357214e-01  7.295310e-02
   7.373134e-01  7.251084e-02
   7.389055e-01  7.215506e-02
   7.404975e-01  7.186061e-02
   7.420895e-01  7.159621e-02
   7.436816e-01  7.128787e-02
   7.452736e-01  7.092160e-02
   7.468657e-01  7.050544e-02
   7.484577e-01  7.006103e-02
   7.500497e-01  6.977701e-02
   7.516418e-01  6.949294e-02
   7.532338e-01  6.909215e-02
   7.548259e-01  6.874990e-02
   7.564179e-01  6.841767e-02
   7.580100e-01  6.811875e-02
   7.596020e-01  6.777805e-02
   7.611940e-01  6.744516e-02
   7.627861e-01  6.710088e-02
   7.643781e-01  6.686527e-02
   7.659702e-01  6.663328e-02
   7.675622e-01  6.637764e-02
   7.691542e-01  6.614041e-02
   7.707463e-01  6.589973e-02
   7.723383e-01  6.561601e-02
   7.739303e-01  6.531960e-02
   7.755224e-01  6.492442e-02
   7.771144e-01  6.451178e-02
   7.787065e-01  6.425661e-02
   7.802985e-01  6.395382e-02
   7.818905e-01  6.361139e-02
   7.834826e-01  6.328672e-02
   7.850746e-01  6.286263e-02
   7.866667e-01  6.246042e-02
   7.882587e-01  6.214744e-02
   7.898508e-01  6.185400e-02
   7.914428e-01  6.161052e-02
   7.930348e-01  6.144410e-02
   7.946269e-01  6.123751e-02
   7.962189e-01  6.103724e-02
   7.978110e-01  6.085730e-02
   7.994030e-01  6.058365e-02
   8.009950e-01  6.024998e-02
   8.025871e-01  5.993992e-02
   8.041791e-01  5.960327e-02
   8.057711e-01  5.927191e-02
   8.073632e-01  5.895397e-02
   8.089552e-01  5.868126e-02
   8.105473e-01  5.840988e-02
   8.121393e-01  5.806303e-02
   8.137313e-01  5.774559e-02
   8.153234e-01  5.744472e-02
   8.169154e-01  5.716738e-02
   8.185075e-01  5.690597e-02
   8.200995e-01  5.670296e-02
   8.216915e-01  5.654399e-02
   8.232836e-01  5.630770e-02
   8.248756e-01  5.605287e-02
   8.264677e-01  5.581016e-02
   8.280597e-01  5.554362e-02
   8.296517e-01  5.527005e-02
   8.312438e-01  5.503498e-02
   8.328358e-01  5.467783e-02
   8.344279e-01  5.430896e-02
   8.360199e-01  5.401845e-02
   8.376119e-01  5.375991e-02
   8.392040e-01  5.352669e-02
   8.407960e-01  5.332241e-02
