# Extracted from McDonald+ 2017 (The Remarkable Similarity of Massive Galaxy Clusters from z ∼ 0 to z ∼ 1.9)
# Figure 2, upper right

# Redshift bins:
# - bin_0: 0.00 < z < 0.10
# - bin_1: 0.25 < z < 0.50
# - bin_2: 0.50 < z < 0.75
# - bin_3: 0.75 < z < 1.20
# - bin_4: 1.20 < z < 1.70

# Units: rho_gas / rho_crit(z)

#   R/R500      bin_0      bin_1      bin_2      bin_3      bin_4
6.06067e-3 3.73077e+3 1.59152e+3 1.22453e+3 8.56504e+2 5.07044e+2
1.79500e-2 1.79291e+3 1.18153e+3 9.09082e+2 6.62941e+2 5.07044e+2
3.55478e-2 1.37129e+3 9.59155e+2 7.37983e+2 5.47874e+2 4.95103e+2
8.25404e-2 7.74007e+2 7.03636e+2 5.25496e+2 4.34285e+2 4.39491e+2
1.79500e-1 4.06738e+2 3.87807e+2 3.20495e+2 3.14818e+2 2.89626e+2
3.52166e-1 1.74548e+2 1.67418e+2 1.68419e+2 1.68419e+2 1.44251e+2
6.00420e-1 6.97376e+1 6.97376e+1 7.14194e+1 6.97376e+1 6.30206e+1
9.32207e-1 2.72063e+1 2.72063e+1 3.12017e+1 2.59401e+1 2.53292e+1
1.42716e+0 9.70652e+0 1.04881e+1 1.07411e+1 7.51292e+0 7.78632e+0
