## Correlations of posterior uncertainties of fdelta(k,z) constraints
## in the parallel file nz1-pm.dat. The order of k-bands in the in this file 
## corresponds to that in the above file.

 1.0000e+00  6.3869e-01  2.9351e-01  6.2613e-02  1.6090e-02  1.6502e-02  7.1538e-03 -4.1675e-03  4.7606e-02  5.2195e-02 -2.6648e-03 -3.6505e-02  4.4184e-02  2.1882e-02  5.5090e-03 -3.1402e-02  1.9797e-03  1.1684e-02 -5.5173e-03 -1.2500e-02
 6.3869e-01  1.0000e+00  4.5782e-01  9.1955e-02  5.8237e-03  1.2552e-02  1.2566e-02 -3.5321e-03  2.7206e-02  1.8962e-02  5.0233e-03 -1.3520e-02  3.9359e-02 -2.3766e-03  3.4167e-04 -2.2874e-02  2.6248e-02 -6.5087e-03  1.4383e-02 -1.8118e-02
 2.9351e-01  4.5782e-01  1.0000e+00  2.4264e-01 -3.4828e-02  5.0596e-02  1.1949e-02  1.8697e-02  3.9219e-02  2.5900e-02  5.1169e-03 -1.6665e-02  2.5053e-02  2.4042e-02  1.7871e-02 -1.1087e-02 -6.6634e-03 -9.9799e-03 -8.7823e-03 -2.9795e-03
 6.2613e-02  9.1955e-02  2.4264e-01  1.0000e+00  9.7155e-02 -4.3310e-02  9.3699e-03  2.5945e-02  6.4995e-02  5.9276e-03  1.7445e-02 -9.3316e-03  2.8196e-02  6.4625e-02  6.0607e-03  2.2302e-02 -1.1919e-02 -1.7546e-02 -3.2462e-02  7.9828e-03
 1.6090e-02  5.8237e-03 -3.4828e-02  9.7155e-02  1.0000e+00 -4.0583e-02 -1.0430e-01  3.5308e-02  6.8653e-02  2.8132e-04 -4.0370e-02  6.1455e-02  4.3102e-02  2.8520e-02 -3.3601e-02  7.6620e-02 -2.5094e-02 -2.7942e-03  1.2442e-03 -2.8787e-02
 1.6502e-02  1.2552e-02  5.0596e-02 -4.3310e-02 -4.0583e-02  1.0000e+00 -9.3933e-02 -1.2002e-01  6.3621e-02  7.4182e-02  1.9105e-02 -7.6267e-03  1.5648e-02  4.2213e-02  3.1039e-02 -1.6008e-02  4.7675e-03  3.4407e-02 -2.1249e-02 -6.5836e-03
 7.1538e-03  1.2566e-02  1.1949e-02  9.3699e-03 -1.0430e-01 -9.3933e-02  1.0000e+00 -1.3580e-01 -1.2634e-01 -5.6235e-03  8.5001e-02  1.2115e-02 -1.4550e-02  2.9683e-02  1.8683e-02 -6.5442e-04  2.3921e-02 -2.1671e-02  1.2308e-02  3.1682e-02
-4.1675e-03 -3.5321e-03  1.8697e-02  2.5945e-02  3.5308e-02 -1.2002e-01 -1.3580e-01  1.0000e+00 -1.5213e-01 -1.9065e-01  3.4173e-02  8.0087e-02  5.2904e-02  9.4916e-03  2.8379e-02 -1.2456e-02  4.2917e-02  1.9749e-02  9.2293e-03 -1.6055e-02
 4.7606e-02  2.7206e-02  3.9219e-02  6.4995e-02  6.8653e-02  6.3621e-02 -1.2634e-01 -1.5213e-01  1.0000e+00 -1.5331e-01 -1.9561e-01  4.3178e-02  6.5313e-02  7.3992e-02  3.6636e-02  7.7403e-03  1.1517e-02  3.4369e-02  2.4590e-02  4.0191e-03
 5.2195e-02  1.8962e-02  2.5900e-02  5.9276e-03  2.8132e-04  7.4182e-02 -5.6235e-03 -1.9065e-01 -1.5331e-01  1.0000e+00 -2.1155e-01 -1.4393e-01  2.4329e-02  8.4174e-02  6.8759e-02 -2.4327e-02 -9.3580e-03 -1.0593e-02 -5.5363e-03  1.9075e-02
-2.6648e-03  5.0233e-03  5.1169e-03  1.7445e-02 -4.0370e-02  1.9105e-02  8.5001e-02  3.4173e-02 -1.9561e-01 -2.1155e-01  1.0000e+00 -2.6805e-01 -1.3200e-01  2.0715e-02  8.4247e-02  1.8758e-02  6.5576e-02  5.9823e-03  3.5407e-03 -9.9435e-03
-3.6505e-02 -1.3520e-02 -1.6665e-02 -9.3316e-03  6.1455e-02 -7.6267e-03  1.2115e-02  8.0087e-02  4.3178e-02 -1.4393e-01 -2.6805e-01  1.0000e+00 -2.2814e-01 -1.6631e-01  4.0831e-02  1.0569e-01  1.1983e-02  2.5522e-02  2.0940e-02 -1.2967e-02
 4.4184e-02  3.9359e-02  2.5053e-02  2.8196e-02  4.3102e-02  1.5648e-02 -1.4550e-02  5.2904e-02  6.5313e-02  2.4329e-02 -1.3200e-01 -2.2814e-01  1.0000e+00 -2.0966e-01 -9.0410e-02 -1.5006e-02  1.4184e-02  4.7365e-03  1.5995e-02 -6.8372e-03
 2.1882e-02 -2.3766e-03  2.4042e-02  6.4625e-02  2.8520e-02  4.2213e-02  2.9683e-02  9.4916e-03  7.3992e-02  8.4174e-02  2.0715e-02 -1.6631e-01 -2.0966e-01  1.0000e+00 -2.2675e-01 -1.4261e-01  1.1807e-02  1.9317e-02 -2.7965e-02  2.5517e-02
 5.5090e-03  3.4167e-04  1.7871e-02  6.0607e-03 -3.3601e-02  3.1039e-02  1.8683e-02  2.8379e-02  3.6636e-02  6.8759e-02  8.4247e-02  4.0831e-02 -9.0410e-02 -2.2675e-01  1.0000e+00 -1.0579e-01 -1.1578e-01 -2.2168e-02 -1.9404e-02 -1.6737e-02
-3.1402e-02 -2.2874e-02 -1.1087e-02  2.2302e-02  7.6620e-02 -1.6008e-02 -6.5442e-04 -1.2456e-02  7.7403e-03 -2.4327e-02  1.8758e-02  1.0569e-01 -1.5006e-02 -1.4261e-01 -1.0579e-01  1.0000e+00 -2.3090e-02 -8.1334e-02 -2.1604e-02 -3.3433e-02
 1.9797e-03  2.6248e-02 -6.6634e-03 -1.1919e-02 -2.5094e-02  4.7675e-03  2.3921e-02  4.2917e-02  1.1517e-02 -9.3580e-03  6.5576e-02  1.1983e-02  1.4184e-02  1.1807e-02 -1.1578e-01 -2.3090e-02  1.0000e+00  8.7801e-02 -2.4864e-02 -1.0225e-02
 1.1684e-02 -6.5087e-03 -9.9799e-03 -1.7546e-02 -2.7942e-03  3.4407e-02 -2.1671e-02  1.9749e-02  3.4369e-02 -1.0593e-02  5.9823e-03  2.5522e-02  4.7365e-03  1.9317e-02 -2.2168e-02 -8.1334e-02  8.7801e-02  1.0000e+00  2.0878e-01  2.5913e-02
-5.5173e-03  1.4383e-02 -8.7823e-03 -3.2462e-02  1.2442e-03 -2.1249e-02  1.2308e-02  9.2293e-03  2.4590e-02 -5.5363e-03  3.5407e-03  2.0940e-02  1.5995e-02 -2.7965e-02 -1.9404e-02 -2.1604e-02 -2.4864e-02  2.0878e-01  1.0000e+00  2.3868e-01
-1.2500e-02 -1.8118e-02 -2.9795e-03  7.9828e-03 -2.8787e-02 -6.5836e-03  3.1682e-02 -1.6055e-02  4.0191e-03  1.9075e-02 -9.9435e-03 -1.2967e-02 -6.8372e-03  2.5517e-02 -1.6737e-02 -3.3433e-02 -1.0225e-02  2.5913e-02  2.3868e-01  1.0000e+00
