## Correlations of posterior uncertainties of fdelta(k,z) constraints
## in the parallel file nz3-pm.dat. The order of k-bands and Z1--Z3 bands in the 
## in this file corresponds to that in the above file.

 1.0000e+00  7.2497e-01  5.4067e-01  3.2580e-01  1.8194e-01  7.8972e-02  2.8899e-02  3.5475e-02  4.2090e-02  1.3491e-02  3.4712e-02  2.3232e-02  2.6180e-02  4.3145e-02  6.5627e-02  4.5469e-02  3.3467e-02  2.4300e-02 -1.2686e-02 -1.9419e-02 -6.9620e-02 -5.2402e-02 -6.8274e-02 -3.4100e-02 -2.5541e-02 -2.0269e-02 -6.5254e-04 -1.0115e-02 -2.5678e-02  1.5160e-02 -7.2856e-03 -3.5405e-02 -4.9961e-02 -4.3737e-02 -3.3260e-02 -3.6385e-02 -2.0462e-02  2.0895e-03  1.7634e-02  2.1690e-02  9.5138e-03  8.0671e-03  9.7911e-03  7.9981e-04 -7.0793e-03  7.4544e-04  1.8190e-02  1.0580e-02 -6.0588e-03  3.4781e-03  1.3129e-02  1.7702e-02  1.4866e-02  2.3686e-02  1.8058e-02  1.7348e-02  4.1185e-03 -5.6597e-04  3.2156e-03  4.0593e-03
 7.2497e-01  1.0000e+00  6.9494e-01  4.3146e-01  2.5331e-01  1.1958e-01  4.1170e-02  9.1012e-03  4.9634e-02  4.6367e-02  5.4913e-02  3.3492e-02  4.0736e-02  3.6539e-02  2.9658e-02  8.7611e-03  3.2195e-02  1.3211e-02 -3.7539e-03  4.0706e-03 -7.8038e-02 -9.1206e-02 -7.9058e-02 -6.6119e-02 -5.7492e-02 -1.9574e-02 -2.3315e-02 -3.9499e-02 -1.7503e-02 -2.3713e-03 -1.1343e-04 -1.3460e-02 -9.5668e-03 -8.9649e-03 -1.2928e-02 -1.5940e-02  1.1010e-02  1.3388e-02  2.2150e-02  4.2169e-02 -2.2097e-02 -6.4266e-03  1.6258e-03  3.2403e-03  4.9843e-03  2.8592e-02  1.8289e-02 -1.2840e-02  3.4819e-03  1.0904e-02 -1.4778e-03 -3.2962e-03  1.4944e-02  2.2131e-02  2.2762e-03  2.6111e-03  4.5698e-03 -7.2639e-03 -2.6862e-03  1.6480e-02
 5.4067e-01  6.9494e-01  1.0000e+00  6.1542e-01  3.2841e-01  1.4596e-01  5.9612e-02  1.9832e-02  3.8158e-02  4.8843e-02  4.5925e-02  5.5601e-02  3.1899e-02  3.4088e-02 -1.3285e-02 -3.5585e-02 -1.7688e-02 -1.3793e-02  1.6986e-03  7.7154e-03 -9.2431e-02 -9.0848e-02 -9.4801e-02 -6.6341e-02 -4.3237e-02 -1.4815e-02 -6.0164e-03  2.1648e-02  1.3273e-02 -5.6283e-03  2.6764e-02  2.2902e-02  3.2155e-02  3.3722e-02  3.8487e-02  1.5719e-02  9.5456e-03  1.7430e-02  1.1943e-02  1.8150e-02 -2.9166e-03  4.1546e-03  1.5905e-02  7.5620e-04 -1.4751e-02  1.4036e-04 -1.7161e-02 -3.2980e-02 -2.0916e-02 -1.6365e-04  4.5517e-04 -9.2091e-04  9.0605e-03  1.9147e-02  1.2152e-02  5.1931e-03 -2.6537e-03 -1.0826e-02  1.4667e-03  8.6953e-03
 3.2580e-01  4.3146e-01  6.1542e-01  1.0000e+00  5.5565e-01  2.5053e-01  1.2856e-01  7.2236e-02  2.6129e-02  6.6522e-02  5.8851e-02  6.8963e-02  4.5537e-02  1.8842e-02 -1.4743e-02 -6.0664e-02 -6.2271e-02 -3.7137e-02  1.2971e-02  1.8837e-02 -9.4602e-02 -1.1521e-01 -1.3173e-01 -1.2193e-01 -1.0180e-01 -3.3570e-02 -1.9477e-02  9.1499e-03 -1.3709e-02 -5.3787e-02  1.8540e-02  3.7724e-02  3.6190e-02  4.9599e-02  5.0199e-02  4.0343e-02  1.1844e-02  1.6510e-02  1.3591e-03 -1.2499e-02  1.7190e-02  2.1402e-02  1.0530e-02  2.4209e-02  2.0189e-02 -1.1662e-02  3.2355e-02  1.3999e-02 -6.3184e-03  8.2296e-03  1.8927e-02  1.5711e-02  1.9100e-02  2.0147e-02  2.9096e-02  1.6874e-02  4.8449e-03  2.2282e-03  1.8830e-02  6.2462e-03
 1.8194e-01  2.5331e-01  3.2841e-01  5.5565e-01  1.0000e+00  4.6831e-01  1.8752e-01  6.0126e-02  4.3089e-02  8.4091e-02  6.2442e-02  5.2384e-02  4.2817e-02  1.7197e-02 -5.2898e-02 -6.9318e-02 -6.4236e-02 -2.9386e-02  2.5492e-02  4.8087e-02 -1.0037e-01 -1.4172e-01 -1.7228e-01 -1.8233e-01 -1.5439e-01 -6.2877e-02 -1.2275e-02  6.1689e-03  1.8091e-03 -3.2819e-02  4.0505e-02  5.4638e-02  5.8584e-02  6.1845e-02  5.7302e-02  5.3552e-02  4.4392e-02  1.3666e-02 -8.2208e-03 -3.7653e-02  2.3638e-02  3.3088e-02  4.9672e-02  4.6539e-02  3.1154e-02  8.3467e-03  2.5820e-02  2.1762e-02  2.4257e-02  2.1244e-02  6.6670e-03  8.8691e-03  2.1614e-02  2.0114e-02  2.5930e-02  1.5174e-02  1.9658e-02 -1.0481e-03  3.2757e-03 -1.5865e-02
 7.8972e-02  1.1958e-01  1.4596e-01  2.5053e-01  4.6831e-01  1.0000e+00  3.8115e-01  9.5713e-02  4.8806e-02  8.7636e-02  6.7534e-02  6.3026e-02  6.2776e-02 -5.0415e-03 -1.8783e-02 -6.7296e-02 -5.4798e-02 -1.8557e-02  2.5517e-02  5.4276e-02 -7.1675e-02 -1.2222e-01 -1.6585e-01 -2.0160e-01 -2.3848e-01 -1.6387e-01 -4.6587e-02 -5.7716e-03  1.8332e-02 -1.8165e-02  2.1665e-02  6.2850e-02  6.8149e-02  7.9272e-02  8.0888e-02  7.1150e-02  3.6751e-02  1.4855e-02 -1.5910e-02 -2.2993e-02  2.2948e-02  4.9395e-02  5.6597e-02  7.1685e-02  6.1629e-02  5.1802e-02  3.9119e-02  5.7335e-03  3.8730e-02  2.7561e-02  7.6197e-03 -1.3824e-02  1.2083e-02 -7.1454e-03 -1.4379e-02 -1.3784e-02 -2.7115e-03 -6.0135e-03 -3.3087e-03 -5.9948e-03
 2.8899e-02  4.1170e-02  5.9612e-02  1.2856e-01  1.8752e-01  3.8115e-01  1.0000e+00  3.2034e-01  6.7138e-02  2.4731e-02  4.7210e-02  8.2270e-02  6.2992e-02  1.5515e-02 -2.6708e-03 -4.1449e-02 -4.0359e-02 -2.7592e-02  1.9087e-02  3.5197e-02 -5.6968e-02 -8.2009e-02 -1.0935e-01 -1.6652e-01 -2.5764e-01 -2.8552e-01 -1.3244e-01 -3.5631e-02 -6.2973e-03 -3.9103e-02 -1.4855e-02  2.0913e-02  5.4947e-02  6.5547e-02  4.3204e-02  2.6753e-02  2.8742e-03  5.6524e-03  5.5117e-03 -1.3698e-02  2.1145e-02  2.7132e-02  3.6345e-02  7.2070e-02  7.3291e-02  5.4339e-02  5.8376e-02  6.2614e-02  2.9824e-02 -4.1922e-03 -5.4339e-03  5.2050e-03 -1.1903e-02 -2.1914e-02 -2.0326e-03 -1.9597e-02 -2.3798e-02 -7.1836e-03 -1.4962e-03 -1.9467e-02
 3.5475e-02  9.1012e-03  1.9832e-02  7.2236e-02  6.0126e-02  9.5713e-02  3.2034e-01  1.0000e+00  2.6578e-01  3.4334e-02  6.4293e-02  8.3730e-02  5.8930e-02  3.3568e-02 -4.7417e-03 -2.5465e-02 -4.4105e-02 -3.3848e-02 -1.4338e-03  1.6237e-02 -1.2456e-02 -2.4090e-02 -4.4287e-02 -8.3737e-02 -1.8178e-01 -2.7743e-01 -3.0548e-01 -1.0936e-01 -1.8475e-02 -1.9259e-02 -2.6040e-03  3.5932e-02  4.1817e-02  6.2782e-02  4.2810e-02  1.2030e-02  7.8303e-03  2.2247e-02  8.6134e-03 -9.1510e-03  4.5542e-02  3.4788e-02  3.6032e-02  6.8138e-02  8.0172e-02  5.7616e-02  8.0314e-02  4.9705e-02  9.4292e-03 -2.0696e-02 -1.2427e-02  2.4591e-03 -3.0058e-02 -2.9226e-02 -5.3881e-03 -1.0800e-03 -5.8671e-03  1.3591e-02  7.7520e-03  6.9139e-03
 4.2090e-02  4.9634e-02  3.8158e-02  2.6129e-02  4.3089e-02  4.8806e-02  6.7138e-02  2.6578e-01  1.0000e+00  2.7649e-01  1.0191e-01  5.4624e-02  3.0301e-02  6.5535e-02  3.2614e-02  2.6080e-02  2.7020e-02  1.8854e-02  1.5827e-02  2.8706e-02 -1.3466e-02 -2.8332e-02 -4.5782e-02 -5.4175e-02 -1.2453e-01 -2.2308e-01 -3.7640e-01 -3.6976e-01 -1.3714e-01  1.4725e-03  1.4272e-02 -5.7454e-03 -2.0484e-02 -2.2510e-02 -2.4065e-02 -1.4686e-02 -2.7999e-03 -2.3276e-02 -3.7384e-02 -2.3280e-02  2.1917e-02  5.5437e-02  4.0092e-02  8.6693e-02  1.3359e-01  1.8311e-01  1.2748e-01  7.4881e-02  8.2125e-02  3.2759e-02  2.2139e-03 -1.3192e-02  2.3457e-02  3.0586e-02  4.8693e-03 -1.8986e-02  1.7090e-02  2.4150e-02  1.7375e-02  1.4029e-02
 1.3491e-02  4.6367e-02  4.8843e-02  6.6522e-02  8.4091e-02  8.7636e-02  2.4731e-02  3.4334e-02  2.7649e-01  1.0000e+00  2.6735e-01  3.2983e-02  2.3751e-02  6.2311e-02  3.5215e-02  2.0690e-02 -1.0487e-02  2.1990e-02  4.8352e-03  1.8842e-02  1.3789e-02 -8.9944e-03 -2.4873e-02 -2.8858e-02 -7.7910e-02 -1.0245e-01 -2.1551e-01 -3.6977e-01 -3.4286e-01 -7.1374e-02  1.8599e-02 -1.8401e-02  1.8871e-02  8.0196e-03  2.2499e-02  3.0827e-02  1.9706e-02  5.9218e-03  1.5069e-02  1.7280e-02 -4.7652e-03  4.1163e-02  4.0410e-02  5.1819e-02  8.1142e-02  1.0637e-01  1.0695e-01  9.3783e-02  8.8525e-02  6.1323e-02  3.5049e-02  2.3952e-02  3.1600e-02  1.3850e-02  1.3717e-02  2.0822e-02  2.7384e-02  1.9133e-02  1.5357e-02  3.6822e-02
